launch_speed,launch_angle,events,bb_type
102.8,16,field_out,line_drive
82.2,74,field_out,popup
90.9,59,field_out,popup
103.1,27,home_run,line_drive
105.7,0,single,ground_ball
72,16,single,line_drive
103.8,15,double,line_drive
85.3,18,double,line_drive
81.8,34,field_out,fly_ball
88.8,21,field_out,line_drive
96.4,26,field_out,line_drive
105.4,27,home_run,line_drive
77.1,9,single,ground_ball
86.8,20,double,line_drive
55.4,-65,field_out,ground_ball
102.8,37,home_run,fly_ball
74.1,-14,force_out,ground_ball
93.1,-15,field_out,ground_ball
86.4,-31,field_out,ground_ball
82,43,field_out,fly_ball
64.2,72,field_out,popup
93.8,44,field_out,fly_ball
82,43,field_out,fly_ball
97.1,12,single,line_drive
90.7,26,field_out,line_drive
104.8,-9,field_out,ground_ball
76.1,6,force_out,ground_ball
94.9,4,single,ground_ball
103.8,27,home_run,line_drive
96.3,22,single,line_drive
95.9,-2,field_out,ground_ball
100.3,8,field_out,line_drive
103.7,31,home_run,fly_ball
81.1,49,field_out,fly_ball
99.4,39,field_out,fly_ball
74.3,23,single,line_drive
71.3,64,field_out,popup
74.1,-16,field_out,ground_ball
80.8,65,field_out,popup
107.1,7,field_out,ground_ball
81.1,-5,field_out,ground_ball
108,26,home_run,line_drive
85.5,10,field_out,line_drive
100.4,-7,field_out,ground_ball
99.4,7,single,line_drive
103.7,17,double,line_drive
92.9,7,single,line_drive
77.4,35,field_out,fly_ball
87.1,9,field_out,ground_ball
106.3,8,field_out,ground_ball
58.2,-79,fielders_choice_out,ground_ball
89.1,8,single,ground_ball
105.9,21,home_run,line_drive
62,49,field_out,popup
103.8,33,sac_fly,fly_ball
80.2,70,field_out,popup
97.2,27,field_out,line_drive
62.7,-20,field_out,ground_ball
100.2,32,home_run,fly_ball
101.8,0,field_out,ground_ball
37.8,57,field_out,popup
78.5,21,triple,line_drive
100.1,7,single,ground_ball
97.4,12,single,line_drive
94.5,23,field_out,line_drive
98,0,fielders_choice,ground_ball
97.9,-12,field_error,ground_ball
55.1,-47,single,ground_ball
88.1,58,field_out,fly_ball
108.5,26,home_run,line_drive
97.1,20,field_out,line_drive
109.1,-5,force_out,ground_ball
105.8,5,field_out,ground_ball
97.6,-1,double,ground_ball
78.3,23,field_out,line_drive
86.8,-29,single,ground_ball
93.5,58,field_out,popup
95.7,14,single,line_drive
96.2,44,field_out,fly_ball
84.5,33,field_out,fly_ball
87.1,5,single,ground_ball
94.1,-9,single,ground_ball
75.7,36,field_out,fly_ball
88.3,-11,grounded_into_double_play,ground_ball
96,40,field_out,fly_ball
94.8,7,single,ground_ball
96.6,24,field_out,line_drive
78.8,28,field_out,line_drive
107.1,44,home_run,fly_ball
72,34,field_out,fly_ball
102,22,field_out,line_drive
92.7,16,single,line_drive
108.2,24,home_run,line_drive
87,47,field_out,fly_ball
63,-33,field_out,ground_ball
102.8,-13,field_out,ground_ball
82.8,47,field_out,fly_ball
99,-2,single,ground_ball
104.4,12,single,line_drive
87.7,-40,field_out,ground_ball
96.9,16,single,line_drive
101,11,single,line_drive
96.2,-7,field_out,ground_ball
81.6,-7,field_out,ground_ball
88.6,41,field_out,fly_ball
103.9,15,double,line_drive
73.7,44,field_out,popup
76.4,17,single,line_drive
88.7,18,field_out,line_drive
69.8,43,field_out,popup
100.1,-7,grounded_into_double_play,ground_ball
81.7,12,field_out,line_drive
92.8,-2,field_out,ground_ball
78.9,48,field_out,fly_ball
74,-21,field_out,ground_ball
97.6,2,double,ground_ball
96.4,12,single,line_drive
87.9,24,field_out,line_drive
91.2,8,single,line_drive
65,51,field_out,popup
96.8,-12,field_out,ground_ball
80.4,-17,field_out,ground_ball
45.2,-35,field_out,ground_ball
88.6,-14,field_out,ground_ball
81.3,-5,field_out,ground_ball
95.4,13,single,line_drive
102.3,16,single,line_drive
82.6,-15,double,ground_ball
82.4,9,single,line_drive
91.3,13,single,line_drive
87.2,17,double,line_drive
96.1,46,field_out,fly_ball
92.4,43,field_out,fly_ball
76.5,-17,field_out,ground_ball
103,12,single,line_drive
87.7,-30,field_out,ground_ball
84.9,-20,field_out,ground_ball
85.2,32,field_out,fly_ball
109.1,22,home_run,line_drive
83,40,field_out,fly_ball
76.4,-9,field_out,ground_ball
85,23,field_out,line_drive
101.1,32,field_error,fly_ball
86.3,62,field_out,popup
84,25,field_out,line_drive
107.8,30,home_run,fly_ball
107.1,-27,field_out,ground_ball
96.5,-3,field_out,ground_ball
95.4,8,triple,line_drive
91.9,11,single,line_drive
74.6,-5,field_out,ground_ball
91.3,-13,field_out,ground_ball
100.2,2,field_out,ground_ball
99.1,-10,single,ground_ball
101.4,23,double,line_drive
97.7,-34,field_out,ground_ball
92.4,49,field_out,fly_ball
91.4,78,field_out,popup
99.5,28,home_run,fly_ball
100.9,2,double,ground_ball
64.9,12,field_out,ground_ball
97.5,-13,field_out,ground_ball
104.7,6,single,ground_ball
93.7,19,single,line_drive
96.9,18,double,line_drive
97.8,3,field_out,ground_ball
102,16,double,line_drive
99.5,17,double,line_drive
104,11,single,line_drive
89.9,-3,force_out,ground_ball
94.1,10,single,line_drive
99.4,32,field_out,fly_ball
61.6,-35,field_out,ground_ball
72.8,30,single,fly_ball
94.7,-2,field_out,ground_ball
95,60,field_out,popup
106.6,13,single,line_drive
69.6,-13,field_out,ground_ball
101,-1,single,ground_ball
82.6,-12,field_out,ground_ball
106.4,31,home_run,fly_ball
87.8,-20,field_out,ground_ball
98.1,34,sac_fly,fly_ball
75.4,3,field_out,ground_ball
94,27,field_out,fly_ball
88.3,4,field_out,ground_ball
101.1,18,field_out,line_drive
92.6,-18,field_out,ground_ball
92.4,-22,grounded_into_double_play,ground_ball
59,-24,single,ground_ball
86.9,38,field_out,fly_ball
95.8,5,grounded_into_double_play,ground_ball
91.1,47,field_out,fly_ball
60.8,-7,grounded_into_double_play,ground_ball
82.3,8,field_out,ground_ball
97.1,45,field_out,fly_ball
74.8,47,field_out,fly_ball
98.9,15,double,line_drive
99.5,13,double,line_drive
101.1,17,double,line_drive
86.5,13,single,line_drive
108.2,4,field_out,ground_ball
101.5,4,field_out,ground_ball
110.4,18,home_run,line_drive
99.4,56,field_out,fly_ball
103.9,44,field_out,fly_ball
95.4,40,field_out,fly_ball
93.7,12,field_out,line_drive
94.9,34,home_run,fly_ball
65.3,31,single,fly_ball
97.2,-12,force_out,ground_ball
99.1,23,field_out,line_drive
93.9,-12,field_out,ground_ball
72.2,50,field_out,popup
84.4,45,field_out,fly_ball
90.5,-24,force_out,ground_ball
83.4,27,field_error,line_drive
89.6,30,field_out,line_drive
91.5,5,single,ground_ball
82.1,-11,field_out,ground_ball
83.3,20,field_out,line_drive
102,32,home_run,fly_ball
84.1,34,field_out,fly_ball
71.4,-13,field_out,ground_ball
101.9,21,double,line_drive
89.3,5,force_out,ground_ball
93.3,-13,grounded_into_double_play,ground_ball
74.6,15,single,line_drive
104.2,3,single,ground_ball
91.1,32,field_out,fly_ball
64.3,-2,field_out,ground_ball
77.2,20,field_out,line_drive
94.2,2,single,ground_ball
91.8,37,field_out,fly_ball
96.3,56,field_out,fly_ball
102.2,24,field_out,line_drive
82.9,33,field_out,fly_ball
78.9,-41,fielders_choice,ground_ball
90.8,24,field_out,line_drive
96.2,31,home_run,fly_ball
83.4,4,grounded_into_double_play,ground_ball
104.1,16,single,line_drive
81.1,77,field_out,popup
88.3,75,field_out,popup
79.2,-18,field_out,ground_ball
101.1,33,field_out,fly_ball
99.2,24,double,line_drive
101.5,2,single,ground_ball
69.2,-20,force_out,ground_ball
97.5,36,field_out,fly_ball
101.6,20,double,line_drive
74.7,-16,field_out,ground_ball
73.5,-15,field_out,ground_ball
105.2,7,single,line_drive
100.6,-11,single,ground_ball
83.5,77,field_out,popup
89.3,73,field_out,popup
92.4,4,single,ground_ball
85,33,field_out,fly_ball
92.6,7,force_out,ground_ball
99.9,47,field_out,fly_ball
91.8,60,field_out,fly_ball
76,29,field_out,line_drive
103,-7,field_out,ground_ball
93.5,61,field_out,popup
76.1,38,field_out,fly_ball
99,26,field_out,line_drive
104.7,16,single,line_drive
87.3,-29,field_out,ground_ball
101.2,-11,grounded_into_double_play,ground_ball
101.8,32,home_run,fly_ball
23.5,11,sac_bunt,ground_ball
96.5,20,single,line_drive
77.8,24,single,line_drive
83.2,64,field_out,popup
67.4,72,field_out,popup
97.8,-7,field_out,ground_ball
64.6,-1,grounded_into_double_play,ground_ball
80.3,11,single,line_drive
101.9,19,field_out,line_drive
72,16,field_out,line_drive
84.5,78,field_out,popup
99.7,-9,field_out,ground_ball
70.9,24,single,line_drive
79.7,-4,force_out,ground_ball
75,-4,field_out,ground_ball
91.5,36,field_out,fly_ball
91.6,29,field_out,line_drive
79.7,40,field_out,fly_ball
111.5,0,field_out,ground_ball
85.7,24,field_out,fly_ball
95.8,29,field_out,line_drive
85.1,72,field_out,popup
88.9,32,field_out,fly_ball
90.3,-24,field_out,ground_ball
105.7,0,single,ground_ball
106.8,-7,grounded_into_double_play,ground_ball
76.2,30,field_out,fly_ball
91.8,-4,grounded_into_double_play,ground_ball
101.7,-6,field_out,ground_ball
66.3,-53,single,ground_ball
96.2,2,double,ground_ball
85.6,19,single,line_drive
70,-19,field_out,ground_ball
97.1,-9,field_out,ground_ball
86.7,65,field_out,popup
93.8,18,field_out,line_drive
73.9,43,field_out,fly_ball
91.1,-13,field_out,ground_ball
97.1,-20,grounded_into_double_play,ground_ball
